O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/LH2,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.35694980694980694,,,,,,256.0488583300512,,309.387287768817,178.74685811126002,208.09340365908605,,,,,,258.2187957983751,,312.1523451077015,181.9104916465268,210.0071828130806,,,,,,,,,255.2757404264692,,,,,,,,,,,278.4332968503927,149.4743466625735,192.8198894276012,,,,,,,237.17899861645145,,266.7254830209505,,,,228.1557138956241,,,,295.0776109239354,285.13241663464834,309.4138695498907,179.1849956437829,232.166075014009,,223.68420406563803,,,,286.2043641783913,276.59253853313413,313.4543725090101,183.1207238812818,226.1976128717348,,,,,,,234.7503323260712,,265.8784783233821,,
0.38764478764478766,,,,,,258.72172150099874,,314.15065981146654,186.6437090320895,210.69884490208076,,,,,,261.1926156790358,,317.0115732827931,190.34441350787245,212.71476295855297,,,,,,,,,257.98845247961,,185.2024175756594,,,,,,,,,282.1498380470951,154.29840867106162,194.96483648713632,,,,,,,237.8235563634036,,269.93540603481904,,,,233.5306621218859,,,,299.8480041315662,290.1280230897991,314.60095840515925,186.24006776381006,237.97347763518673,,228.08672836050405,,,,290.6527596937941,281.12925881450303,318.6850217077027,191.00216292720538,231.15323263130645,,,,,,,235.10156585729263,,269.03960309163807,,186.97884543292025
0.4183397683397683,,,,,,262.30548990518434,,318.5100455655475,195.34198004076998,213.11991952460076,,,,,,265.2603405039176,,321.43856656417745,199.6569289679703,215.2319672925889,,,,,,,,,260.5460713775087,,187.07456964636282,,,,,,,243.31707574002877,,285.6154507392511,158.91700823304365,196.92490852619082,,,,,,,238.4788801484051,,272.9368174380188,,,,238.8587833056488,,,,304.2704057477321,294.823107669356,319.4302534145451,193.73174127765304,243.61257695142967,,232.4216759540306,,,,294.8957181637678,285.51228822427436,323.5355216574229,199.5788955967789,236.07396030648314,,,,,,,235.48773946839356,,272.0014900539141,,
0.449034749034749,,,,,,267.2146918546934,,322.48241532451607,204.74263116707067,215.36895267478207,,,,,,270.7438353447781,,325.4613100161913,209.5226825750633,217.58696763388764,,,,,,,,,262.955606079106,,,,,,,,,244.08667526085213,,288.85507595279046,163.42464405105704,198.745166246633,,,,,,,239.15820440960493,,275.76109597266714,154.3685750898577,,,244.11952532099954,,,,,299.194007643406,323.93620158752844,201.82396681743128,249.05873587671127,,236.72116784577148,,,,298.89712613533845,289.7087810901755,328.0109092325383,208.81755315541702,240.9553310693182,,,,,,,235.905063342733,,274.7801674294792,150.86672956980348,
0.4797297297297297,,,,,,273.15302813236434,,326.09180698644576,214.2683434628326,217.48407582557172,,,,,,277.0461030304274,,329.10365299178864,219.27494073525656,219.81184936643805,,,,,,,,,265.2425531653467,,,,,,,,,244.95169457051756,,291.89141287946325,167.90632873331506,200.43641601757415,,,,,,,239.86729931645834,,278.4179606140642,158.19981784075543,,,249.30528471500577,,,,,,328.13809163845065,210.4328679586363,254.2790015766932,,241.01186446775588,,,,302.65309002373715,293.70812003884896,332.16061947688627,218.27545988887115,245.77690946292793,,,,,,,236.36915223317632,,277.3899722910198,154.61835367835857,
0.5104247104247105,,,,,,279.26794628163,255.70276805799787,329.34113354058314,223.4111808136933,,,,,,,283.30412245276585,258.67291065590035,332.368329923653,228.49288036803105,,,,,,,,,,267.40204497953323,148.322125923121,,,,,,,,245.94312855497225,,294.7290561768568,172.457960001742,202.00643133341515,,,,,,,240.60006825414516,,280.9154686907917,161.90218515850435,,,254.37905138227262,,,,,,332.0403404821593,219.18346422647812,259.2521055078211,,245.31366125426433,,,,,297.4886428833136,335.97159794023213,227.46986274177976,250.50090423301813,,,,,,,236.88047795261215,,279.84373686872254,158.25062007088556,
0.5411196911196912,,,,,217.57317463473854,285.1102303700851,257.7892485025007,332.24209591582746,231.95534064860448,,,,,,219.78038568205153,289.2178585287916,260.9635314944169,335.25526714577273,237.06028274740902,,,,,,,,,,269.4478672557535,151.3633942725176,193.2030822315577,,,,,,,247.11827532596809,,297.3867089029801,177.18586656194677,203.33342479686664,,,,,,,241.3792248291149,232.70848055582144,283.28095161125566,165.5186712346005,,,259.3183790348244,,,,,,335.6701939390392,227.69678323002717,263.96655665127474,,249.61400845963604,,,,,,339.4782257548232,236.1568702952005,255.1013098434945,,,,,,,237.46035314439817,,282.15301142481485,161.8175799277926,
0.5718146718146718,,,,,219.81040283855987,290.57449583492144,260.5738070182024,334.8042281133313,239.8801059479309,,,,,,222.1487620315911,294.7303349204912,264.13606793529937,337.7985447416715,244.98964990452495,,,,,,,,,,271.3930935407621,154.28521943067244,194.4747433580159,,344.61517346543224,,,,,248.560304142088,,299.8761531332112,182.18173614561292,,,,,,,,242.2122590790153,233.32922830627865,285.50440751189603,169.09610306618643,,,264.0709858647881,,253.2742008976287,,,,339.0421259070188,235.77900368154638,268.4260524701874,,253.8954488133184,,,,,,342.68384272874044,244.28232373211648,259.54077794623043,,,,,,,238.12581037038498,,284.3281411240896,165.36938196729315,
0.6025096525096525,,,,,222.1105296702031,295.6700602533728,264.4529218795061,337.0357632071594,247.2295129099624,,,,,,224.62527615930938,299.85696046374045,268.601162864286,339.995397948498,252.3336212105334,,,,,,,,,,273.2299692262475,157.12559440443118,195.6671344181797,,346.4859236998026,,,,,250.37916191671965,,302.2077814376704,187.50245370128914,,,,,,,,243.11918799734076,233.95732235071173,287.6058183541595,172.67832206026742,,,268.62909565855364,,257.29061465178285,,,,342.15777527096515,243.38223493388014,,,258.13297955733907,,,,,,345.616784508932,251.85876130044875,263.82523724487595,,,,,,,238.9002097196672,,286.3784484847435,168.95789510732345,
0.6332046332046333,,,,,224.56466192644166,300.4130027285219,269.4990934941933,338.94140457960833,254.0474128916386,,,,,,227.3267535946374,304.62698902069496,274.110910270164,341.8519161146881,259.13994008052856,,,,,,,,,,274.9852614239608,159.90534966089342,196.78994211829394,,348.1269446575424,,,,,252.70878054676794,,304.38525436302854,193.10592474044202,,,,,,,,244.1156221352516,234.58676403208685,289.59391484730713,176.31308228425746,,,272.9849852682324,,261.3040985144942,,,,345.0440503423411,250.50886241028354,,,262.30045741071166,,,,,,348.27410616312267,258.9297258434229,267.92219219786864,,,,,,,239.81569389229725,,288.31233947002653,172.6404642501338,
